0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:00 +0800] "GET //Book2/FenleiServlet?action=showOne&id=146&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:00 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:29 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:30 +0800] "GET //Book2/updatefl.jsp HTTP/1.1" 200 4878
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:31 +0800] "POST //Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:45 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:46 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:46 +0800] "GET //Book2/FenleiServlet?action=showOne&id=144&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:47 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:48 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:49 +0800] "GET //Book2/updatefl.jsp HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:49 +0800] "POST //Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:58 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:59 +0800] "GET //Book2/FenleiServlet?action=showOne&id=143&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:24:59 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3718
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:21 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:22 +0800] "GET //Book2/FenleiServlet?action=showOne&id=146&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:22 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:24 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:29 +0800] "GET /Book2/addbook.jsp HTTP/1.1" 200 6225
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:29 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:30 +0800] "GET /Book2/BookServlet?action=showPasgeBook HTTP/1.1" 200 26511
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:31 +0800] "GET //Book2/BookServlet?action=showOne&id=124&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:31 +0800] "GET /Book2/changeBook.jsp HTTP/1.1" 200 6685
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:31 +0800] "POST /Book2/FenleiServlet HTTP/1.1" 200 3323
