127.0.0.1 - - [18/Dec/2018:08:06:29 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:25 +0800] "GET /Book2/images/ui-icons_c47a23_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:25 +0800] "GET /Book2/images/ui-bg_glass_70_ede4d4_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:25 +0800] "GET /Book2/images/ui-bg_inset-soft_100_f4f0ec_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:25 +0800] "GET /Book2/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:25 +0800] "GET /Book2/images/ui-icons_f35f07_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:27 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 9654
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:27 +0800] "GET /Book2/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:27 +0800] "GET /Book2/bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:27 +0800] "GET /Book2/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:28 +0800] "GET //Book2/tu/17.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:46:40 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:46:40 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:46:41 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:46:42 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:46:42 +0800] "GET /Book2/tu/h4.jpg HTTP/1.1" 200 99944
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:46:42 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:14 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:14 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:14 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:14 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:14 +0800] "GET /Book2/tu/h4.jpg HTTP/1.1" 200 306547
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:14 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:35 +0800] "GET /Book2/images/ui-bg_glass_100_f5f0e5_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:35 +0800] "GET /Book2/images/ui-icons_f08000_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:36 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:36 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:36 +0800] "GET /Book2/left.jsp HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:37 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:37 +0800] "GET /Book2/tu/h4.jpg%20background-size:100%; HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:51:37 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:53:14 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 173
